[6] pry(main)> invite.destroy!
2023-09-07 09:18:16.770701 D [102:7520 log_subscriber.rb:130] ActiveRecord::Base --   TRANSACTION (0.4ms)  BEGIN
2023-09-07 09:18:16.812851 D [102:7520 log_subscriber.rb:130] ActiveRecord::Base --   Initiative Update All (0.5ms)  UPDATE "initiatives" SET "author_id" = $1 WHERE "initiatives"."author_id" = $2  [["author_id", nil], ["author_id", "27592ee9-48a0-4240-b71d-a54da083ae64"]]
2023-09-07 09:18:16.814462 D [102:7520 log_subscriber.rb:130] ActiveRecord::Base --   Initiative Update All (0.4ms)  UPDATE "initiatives" SET "assignee_id" = $1 WHERE "initiatives"."assignee_id" = $2  [["assignee_id", nil], ["assignee_id", "27592ee9-48a0-4240-b71d-a54da083ae64"]]
2023-09-07 09:18:16.819503 D [102:7520 log_subscriber.rb:130] ActiveRecord::Base --   Comment Update All (1.9ms)  UPDATE "comments" SET "author_id" = $1 WHERE "comments"."author_id" = $2  [["author_id", nil], ["author_id", "27592ee9-48a0-4240-b71d-a54da083ae64"]]
2023-09-07 09:18:16.824679 D [102:7520 log_subscriber.rb:130] ActiveRecord::Base --   InternalComment Update All (1.6ms)  UPDATE "internal_comments" SET "author_id" = $1 WHERE "internal_comments"."author_id" = $2  [["author_id", nil], ["author_id", "27592ee9-48a0-4240-b71d-a54da083ae64"]]
2023-09-07 09:18:16.829648 D [102:7520 log_subscriber.rb:130] ActiveRecord::Base --   OfficialFeedback Update All (1.1ms)  UPDATE "official_feedbacks" SET "user_id" = $1 WHERE "official_feedbacks"."user_id" = $2  [["user_id", nil], ["user_id", "27592ee9-48a0-4240-b71d-a54da083ae64"]]
2023-09-07 09:18:16.834990 D [102:7520 log_subscriber.rb:130] ActiveRecord::Base --   Reaction Update All (2.0ms)  UPDATE "reactions" SET "user_id" = $1 WHERE "reactions"."user_id" = $2  [["user_id", nil], ["user_id", "27592ee9-48a0-4240-b71d-a54da083ae64"]]
2023-09-07 09:18:16.838542 D [102:7520 log_subscriber.rb:130] ActiveRecord::Base --   Events::Attendance Load (0.4ms)  SELECT "events_attendances".* FROM "events_attendances" WHERE "events_attendances"."attendee_id" = $1  [["attendee_id", "27592ee9-48a0-4240-b71d-a54da083ae64"]]
2023-09-07 09:18:16.844691 D [102:7520 log_subscriber.rb:130] ActiveRecord::Base --   Follower Load (2.1ms)  SELECT "followers".* FROM "followers" WHERE "followers"."user_id" = $1  [["user_id", "27592ee9-48a0-4240-b71d-a54da083ae64"]]
2023-09-07 09:18:16.850034 D [102:7520 log_subscriber.rb:130] ActiveRecord::Base --   CosponsorsInitiative Load (0.9ms)  SELECT "cosponsors_initiatives".* FROM "cosponsors_initiatives" WHERE "cosponsors_initiatives"."user_id" = $1  [["user_id", "27592ee9-48a0-4240-b71d-a54da083ae64"]]
2023-09-07 09:18:16.852661 D [102:7520 log_subscriber.rb:130] ActiveRecord::Base --   Identity Load (0.5ms)  SELECT "identities".* FROM "identities" WHERE "identities"."user_id" = $1  [["user_id", "27592ee9-48a0-4240-b71d-a54da083ae64"]]
2023-09-07 09:18:16.856065 D [102:7520 log_subscriber.rb:130] ActiveRecord::Base --   SpamReport Update All (0.8ms)  UPDATE "spam_reports" SET "user_id" = $1 WHERE "spam_reports"."user_id" = $2  [["user_id", nil], ["user_id", "27592ee9-48a0-4240-b71d-a54da083ae64"]]
2023-09-07 09:18:16.861974 D [102:7520 log_subscriber.rb:130] ActiveRecord::Base --   Activity Update All (3.1ms)  UPDATE "activities" SET "user_id" = $1 WHERE "activities"."user_id" = $2  [["user_id", nil], ["user_id", "27592ee9-48a0-4240-b71d-a54da083ae64"]]
2023-09-07 09:18:16.869195 D [102:7520 log_subscriber.rb:130] ActiveRecord::Base --   Invite Update All (2.6ms)  UPDATE "invites" SET "inviter_id" = $1 WHERE "invites"."inviter_id" = $2  [["inviter_id", nil], ["inviter_id", "27592ee9-48a0-4240-b71d-a54da083ae64"]]
2023-09-07 09:18:16.876349 D [102:7520 log_subscriber.rb:130] ActiveRecord::Base --   Invite Load (1.7ms)  SELECT "invites".* FROM "invites" WHERE "invites"."invitee_id" = $1 LIMIT $2  [["invitee_id", "27592ee9-48a0-4240-b71d-a54da083ae64"], ["LIMIT", 1]]
2023-09-07 09:18:16.880867 D [102:7520 log_subscriber.rb:130] ActiveRecord::Base --   Membership Load (1.2ms)  SELECT "memberships".* FROM "memberships" WHERE "memberships"."user_id" = $1  [["user_id", "27592ee9-48a0-4240-b71d-a54da083ae64"]]
2023-09-07 09:18:16.886423 D [102:7520 log_subscriber.rb:130] ActiveRecord::Base --   EmailCampaigns::CampaignEmailCommand Load (1.4ms)  SELECT "email_campaigns_campaign_email_commands".* FROM "email_campaigns_campaign_email_commands" WHERE "email_campaigns_campaign_email_commands"."recipient_id" = $1  [["recipient_id", "27592ee9-48a0-4240-b71d-a54da083ae64"]]
